# qstring	previous	current	probability
Cb2f _M|J	各位	同仁	-0.2
kGGK 0>fa	條文	通過	-0.298637
ph 0>fa	案	通過	-0.461846
nq UZp={O	得	很清楚	-0.54543
Db s2:12:	克	多巴胺	-0.58858
[Oa_ |O	體育	署	-0.608308
CE^: 0_	臺灣	是	-0.655332
XDU< kGGK	協商	條文	-0.670056
Ibrq kGGK	這個	條文	-0.67993
kG ?0F0	條	之一	-0.68706
CMCi |O	營建	署	-0.700623
L_ ]O:i	部	裡面	-0.706195
CE^: NX	臺灣	有	-0.707406
~0[1 cY5_	居家	檢疫	-0.738064
}Q_d 0]1g	我再	請教	-0.740149
3> L_mJ	公	部門	-0.7538
a_bi \_	預算	數	-0.7538
kGGK M9Kl	條文	修正	-0.758281
{?ph kGGK	提案	條文	-0.763619
ph Slph	案	併案	-0.767508
EiQM kGGK	現行	條文	-0.772261
\_2f L_	數位	部	-0.774136
FM ~IP_	明	年度	-0.77684
]; ~IP_	今	年度	-0.778478
3>tO ~KU_	公股	行庫	-0.784582
|J0_ 4L	人事	長	-0.785145
WB1g |O	國教	署	-0.788551
O@ LPWl|J\_	足	法定人數	-0.792297
?1 IFNX	它	沒有	-0.800274
~_ LjEE	納	進來	-0.808842
CEvU0_ KloO	臺北市	政府	-0.823635
nq wI4L	得	延長	-0.823635
Ib5_ ph	這一	案	-0.826305
Wk M<M<	像	剛剛	-0.826305
L_ ?;=f	部	分會	-0.827652
ph yS0_	案	也是	-0.837302
WBQY |O	國產	署	-0.839422
CE^: Ei_d	臺灣	現在	-0.840846
CE^: EE	臺灣	來	-0.841204
3>tO 1K~K	公股	銀行	-0.845171
pa UOL`	作	以下	-0.850692
ph 0WvH	案	保留	-0.857877
M9Kl kGGK	修正	條文	-0.859805
QE RV=f	財	委會	-0.859805
<@ a_>K	吳	玉琴	-0.860581
I: a_bi	編	預算	-0.862531
ph M9Kl	案	修正	-0.862531
CE9>0_ KloO	臺中市	政府	-0.867278
3en5 0_A_	快篩	試劑	-0.869285
CE^: |J4K	臺灣	人民	-0.877488
F00_ |JTJ	醫事	人員	-0.881275
