# qstring	previous	current	probability
01 01	驅	驅	-1.700000
01 0C	區	德	-1.492607
01 0C	曲	德	-1.650445
01 0J	區	聯	-1.447413
01 0W	區	保	-1.700000
01 0\	區	網	-1.162404
01 0_	瞿	世	-1.554047
01 0_~l	屈	試用	-1.554047
01 1U	區	採	-1.447413
01 1g	區	較	-1.554047
01 1g	驅	鳥	-1.612007
01 2@	趨	吉	-1.492607
01 2@3@	區	及其	-1.650445
01 2f	曲	為	-1.241351
01 2fB@	區	位圖	-1.580601
01 2fZ_FM	區	未註明	-1.373208
01 2fec	區	為界	-1.401203
01 3>	屈	公	-1.058917
01 3>=_	區	公立	-1.492607
01 4@	區	錫	-1.434648
01 4L	曲	長	-1.612007
01 4LRd	區	長泰	-1.700000
01 4L_d	區	長在	-1.476190
01 4W	瞿	導	-1.650445
01 4_S<	區	四張	-1.700000
01 5_	区	役	-1.650445
01 5_	屈	意	-1.650445
01 5_3@	區	一期	-1.650445
01 5_4@	區	議席	-1.700000
01 5_GK	區	藝文	-1.349133
01 5_[O	區	一體	-1.476190
01 68	曲	腰	-1.580601
01 68	驅	妖	-1.434648
01 6J	區	賢	-1.700000
01 6N	曲	兒	-1.492607
01 6d	瞿	越	-1.492607
01 78	區	標	-1.700000
01 7f	區	隊	-1.262644
01 8M	區	橫	-1.554047
01 8i	區	辨	-1.281804
01 91	曲	阿	-1.356790
01 :<	区	亀	-1.612007
01 :h=M	區	舊城	-1.434648
01 ;1;1	區	趴趴	-1.650445
01 ;;	屈	恩	-1.700000
01 <C	驅	蛇	-1.580601
01 <iRO	區	店子	-1.554047
01 <j	區	任	-1.580601
01 =M	區	盛	-1.580601
01 =M	曲	承	-1.531045
01 =M@@	區	成福	-1.411646
01 =_	區	立	-1.531045
01 =_	屈	利	-1.612007
01 =f	区	恵	-1.700000
01 =f	曲	繪	-1.612007
01 =f	瞿	蕙	-1.650445
01 =f6C	曲	匯合	-1.612007
01 >J	区	丸	-1.580601
01 >J	屈	完	-1.700000
01 >P	區	莒	-1.580601
01 ?0TJ	区	祇園	-1.612007
01 ?;L_	區	分佈	-1.580601
01 @@6C	區	福和	-1.612007
01 A0	區	獅	-1.700000
01 A@	瞿	獨	-1.700000
01 A_	區	計	-1.382044
01 B@	屈	突	-1.612007
01 BW	驅	蚤	-1.700000
01 BY	區	板	-1.170177
01 B_cf	驅	氣道	-1.700000
01 Bb	區	勒	-1.531045
01 C0	區	資	-1.700000
01 CE	區	颱	-1.650445
01 CEvU	區	臺北	-1.580601
01 Ci	趨	漸	-1.700000
01 Ciph	區	建案	-1.650445
01 Ci}^	區	建制	-1.700000
01 EEnq	區	來的	-1.612007
01 EM	區	坪	-1.700000
01 F09j	驅	一震	-1.650445
01 F0NO	屈	一指	-1.700000
01 F0Qd	區	一帶	-1.434648
01 F0Yc	區	一頁	-1.650445
01 F:	曲	参	-1.650445
01 G:?0	區	三芝	-1.612007
01 G:^=	區	三生	-1.510756
01 G:c=	區	三鶯	-1.612007
01 GfGf	曲	碎碎	-1.612007
01 HF	區	荖	-1.461201
01 I1	區	插	-1.321513
01 I:	曲	編	-1.476190
01 IF}I	区	梅田	-1.554047
01 IM	曲	亭	-1.700000
01 IX	區	首	-1.650445
01 IXpa	區	首座	-1.554047
01 J;	區	偵	-1.612007
01 K@	驱	逐	-1.650445
01 KM	曲	靈	-1.510756
01 KM	驅	靈	-1.580601
01 KP	屈	瑪	-1.650445
01 K_	區	務	-1.580601
01 Kl	區	政	-1.064565
01 L_	區	部	-1.245404
01 L_}^	區	布置	-1.650445
01 Lj	曲	晉	-1.334770
01 NX	瞿	友	-1.411646
01 N_	區	牧	-1.531045
01 Nb	區	側	-1.580601
01 O1	區	呀	-1.700000
01 O_	區	覆	-1.510756
01 PO	曲	始	-1.700000
01 Q;TJ	曲	音源	-1.700000
01 Q=	驅	蜂	-1.700000
01 Q=9K	區	楓林	-1.700000
01 Qd	区	代	-1.612007
01 QdDb	區	代客	-1.580601
01 R0	區	積	-1.510756
01 ROrF	區	紫微	-1.612007
01 RV	曲	尾	-1.554047
01 S<	區	漳	-1.531045
01 SWvY	曲	小管	-1.650445
01 S_	曲	錄	-1.700000
01 T0	曲	膝	-1.401203
01 T:	区	浅	-1.510756
01 T:	曲	堅	-1.476190
01 T:	趨	堅	-1.461201
01 TJ	區	圓	-1.364804
01 TJC:	區	員山	-1.476190
01 UB	驅	儺	-1.700000
01 UG	區	桃	-1.700000
01 V3	區	喝	-1.700000
01 V=	瞿	賡	-1.700000
01 Wk	曲	巷	-1.700000
01 Xe	祛	魅	-1.612007
01 Xl	曲	聴	-1.700000
01 Yco=	區	業經	-1.700000
01 [1	區	佳	-1.276810
01 [1	屈	家	-1.510756
01 [1	曲	家	-1.401203
01 \0SY	區	污染	-1.612007
01 \0cV	區	污水	-1.510756
01 \_	曲	數	-1.422763
01 \e	区	内	-1.650445
01 \ef<	區	內將	-1.580601
01 ];	區	今	-1.492607
01 ]K	曲	芸	-1.554047
01 ^;	曲	欽	-1.580601
01 _;	区	心	-1.700000
01 _;rG	区	新橋	-1.650445
01 _M_`	趨	同化	-1.612007
01 _`	趨	化	-1.612007
01 _`LP	區	劃法	-1.447413
01 `_	區	粟	-1.554047
01 `d	區	蔡	-1.580601
01 `l	區	興	-1.271958
01 aJ	區	權	-1.253809
01 aJ01	區	全區	-1.554047
01 aO	屈	己	-1.531045
01 a\:_	區	等地	-1.612007
01 a_	区	域	-1.612007
01 a_c=	區	育英	-1.554047
01 a_}^	區	預置	-1.650445
01 b[cf	區	長到	-1.612007
01 cH	驅	猴	-1.554047
01 cY	區	堿	-1.650445
01 cY	區	檢	-1.650445
01 cf	区	道	-1.612007
01 cf	區	道	-1.170177
01 dM	瞿	鴻	-1.650445
01 e1	區	挖	-1.531045
01 ecEi	區	界線	-1.612007
01 fc	区	切	-1.580601
01 g5J`	屈	開架	-1.554047
01 g;	驅	瘟	-1.580601
01 h<	區	鄉	-1.580601
01 hI	区	南	-1.373208
01 hI	區	南	-1.271958
01 i=	區	廳	-1.700000
