# qstring	previous	current	probability
QE o=?i	才	精煉	-0.35
o=?i l0EE	精煉	出來	-0.35
N:5_ hINb	天意	難測	-0.35
nHDk 0\L`	由上	往下	-0.35
nHL` 0\Dk	由下	往上	-0.35
[1 5_L`	加	一下	-0.35
^HLP ]Oqq	頭髮	理了	-0.35
UZ hI~l	很	難用	-0.35
3Enq hI~l	覺得	難用	-0.35
3E0C hI~l	覺得	難用	-0.35
I1 _dOP	差	在哪	-0.35
8_8_ k@k@	密密	麻麻	-0.35
NXE< }Q	有幫	我	-0.35
UZs2 J`	很多	架	-0.35
I1 DYs2	差	滿多	-0.35
:h mf	就	照	-0.35
tf 0_	要	試	-0.35
0_ 0_	試	試	-0.35
2:0= =M0_	安裝	程式	-0.35
2_ml 8i0_	自動	辨識	-0.35
3>a_ ]O	公寓	裡	-0.35
3>gf Ein?	公告	現值	-0.35
4>T: ]O	空間	裡	-0.35
6WQd ]O	腦袋	裡	-0.35
9>3g VD5_	忠孝	節義	-0.35
B80> @>Ob	交通	壅塞	-0.35
Ei]; tO=_	現金	股利	-0.35
I7BZ rF	推選	為	-0.35
IJ^l ]O	環境	裡	-0.35
Kb01 ]O	社區	裡	-0.35
NOGK 8i0_	指紋	辨識	-0.35
Uk4C rF	降格	為	-0.35
[1IM ]O	家庭	裡	-0.35
_`Kb rF	劃設	為	-0.35
`=[1 rF	增加	為	-0.35
fa=M ]O	過程	裡	-0.35
g57_ rF	開闢	為	-0.35
g:y< Yc0_	觀光	夜市	-0.35
h<B_ 4_5_	香氣	四溢	-0.35
haEM rF	獲評	為	-0.35
kGk\ rF	調整	為	-0.35
kGx7 rF	調高	為	-0.35
p=[V R0c[	輕軌	機廠	-0.35
qfQ; \0SY	噪音	污染	-0.35
rY0_ Lj=_	短視	近利	-0.35
rhWl rF	判定	為	-0.35
tOvf tO=_	股票	股利	-0.35
{J_` ]O	神話	裡	-0.35
|_SW 0_K_	大小	事務	-0.35
IbL_ 9i	這部	片	-0.35
Ibcp Ye	這麼	廢	-0.35
dRUO B8|J	可以	教人	-0.35
m:mJ B8|J	專門	教人	-0.35
ci5_ B8|J	願意	教人	-0.35
}Qtf B8|J	我要	教人	-0.35
=@tfUi B8|J	不要亂	教人	-0.35
5_KZ B8|J	一本	教人	-0.35
r\9i B8|J	影片	教人	-0.35
